,,0
26,Parch,0.0
26,Ticket,2631
26,Fare,7.225
26,Embarked,C
27,Unnamed: 0,27
27,PassengerId,28
27,Survived,0
27,Pclass,1
27,Name,"Fortune, Mr. Charles Alexander"
27,Sex,male
27,Age,19.0
27,SibSp,3.0
27,Parch,2.0
27,Ticket,19950
27,Fare,263.0
27,Cabin,C23 C25 C27
27,Embarked,S
28,Unnamed: 0,28
28,PassengerId,29
28,Survived,1
28,Pclass,3
28,Name,"O'Dwyer, Miss. Ellen ""Nellie"""
28,Sex,female
28,SibSp,0.0
28,Parch,0.0
28,Ticket,330959
28,Fare,7.8792
28,Embarked,Q
29,Unnamed: 0,29
29,PassengerId,30
29,Survived,0
29,Pclass,3
29,Name,"Todoroff, Mr. Lalio"
29,Sex,male
29,SibSp,0.0
29,Parch,0.0
29,Ticket,349216
29,Fare,7.8958
29,Embarked,S
30,Unnamed: 0,30
30,PassengerId,31
30,Survived,0
30,Pclass,1
30,Name,"Uruchurtu, Don. Manuel E"
30,Sex,male
30,Age,40.0
30,SibSp,0.0
30,Parch,0.0
30,Ticket,PC 17601
30,Fare,27.7208
30,Embarked,C
31,Unnamed: 0,31
31,PassengerId,32
31,Survived,1
31,Pclass,1
31,Name,"Spencer, Mrs. William Augustus (Marie Eugenie)"
31,Sex,female
31,SibSp,1.0
31,Parch,0.0
31,Ticket,PC 17569
31,Fare,146.5208
31,Cabin,B78
31,Embarked,C
32,Unnamed: 0,32
32,PassengerId,33
32,Survived,1
32,Pclass,3
32,Name,"Glynn, Miss. Mary Agatha"
32,Sex,female
32,SibSp,0.0
32,Parch,0.0
32,Ticket,335677
32,Fare,7.75
32,Embarked,Q
33,Unnamed: 0,33
33,PassengerId,34
33,Survived,0
33,Pclass,2
33,Name,"Wheadon, Mr. Edward H"
33,Sex,male
33,Age,66.0
33,SibSp,0.0
33,Parch,0.0
33,Ticket,C.A. 24579
33,Fare,10.5
33,Embarked,S
34,Unnamed: 0,34
34,PassengerId,35
34,Survived,0
34,Pclass,1
34,Name,"Meyer, Mr. Edgar Joseph"
34,Sex,male
34,Age,28.0
34,SibSp,1.0
34,Parch,0.0
34,Ticket,PC 17604
34,Fare,82.1708
34,Embarked,C
35,Unnamed: 0,35
35,PassengerId,36
35,Survived,0
35,Pclass,1
35,Name,"Holverson, Mr. Alexander Oskar"
35,Sex,male
35,Age,42.0
35,SibSp,1.0
35,Parch,0.0
35,Ticket,113789
35,Fare,52.0
35,Embarked,S
36,Unnamed: 0,36
36,PassengerId,37
36,Survived,1
36,Pclass,3
36,Name,"Mamee, Mr. Hanna"
36,Sex,male
36,SibSp,0.0
36,Parch,0.0
36,Ticket,2677
36,Fare,7.2292
36,Embarked,C
37,Unnamed: 0,37
37,PassengerId,38
37,Survived,0
37,Pclass,3
37,Name,"Cann, Mr. Ernest Charles"
37,Sex,male
37,Age,21.0
37,SibSp,0.0
37,Parch,0.0
37,Ticket,A./5. 2152
37,Fare,8.05
37,Embarked,S
38,Unnamed: 0,38
38,PassengerId,39
38,Survived,0
38,Pclass,3
38,Name,"Vander Planke, Miss. Augusta Maria"
38,Sex,female
38,Age,18.0
38,SibSp,2.0
38,Parch,0.0
38,Ticket,345764
38,Fare,18.0
38,Embarked,S
39,Unnamed: 0,39
39,PassengerId,40
39,Survived,1
39,Pclass,3
39,Name,"Nicola-Yarred, Miss. Jamila"
39,Sex,female
39,Age,14.0
39,SibSp,1.0
39,Parch,0.0
39,Ticket,2651
39,Fare,11.2417
39,Embarked,C
40,Unnamed: 0,40
40,PassengerId,41
40,Survived,0
40,Pclass,3
40,Name,"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)"
40,Sex,female
40,Age,40.0
40,SibSp,1.0
40,Parch,0.0
40,Ticket,7546
40,Fare,9.475
40,Embarked,S
41,Unnamed: 0,41
41,PassengerId,42
41,Survived,0
41,Pclass,2
41,Name,"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)"
41,Sex,female
41,Age,27.0
41,SibSp,1.0
41,Parch,0.0
41,Ticket,11668
41,Fare,21.0
41,Embarked,S
42,Unnamed: 0,42
42,PassengerId,43
42,Survived,0
42,Pclass,3
42,Name,"Kraeff, Mr. Theodor"
42,Sex,male
42,SibSp,0.0
42,Parch,0.0
42,Ticket,349253
42,Fare,7.8958
42,Embarked,C
43,Unnamed: 0,43
43,PassengerId,44
43,Survived,1
43,Pclass,2
43,Name,"Laroche, Miss. Simonne Marie Anne Andree"
43,Sex,female
43,Age,3.0
43,SibSp,1.0
43,Parch,2.0
43,Ticket,SC/Paris 2123
43,Fare,41.5792
43,Embarked,C
44,Unnamed: 0,44
44,PassengerId,45
44,Survived,1
44,Pclass,3
44,Name,"Devaney, Miss. Margaret Delia"
44,Sex,female
44,Age,19.0
44,SibSp,0.0
44,Parch,0.0
44,Ticket,330958
44,Fare,7.8792
44,Embarked,Q
45,Unnamed: 0,45
45,PassengerId,46
45,Survived,0
45,Pclass,3
45,Name,"Rogers, Mr. William John"
45,Sex,male
45,SibSp,0.0
45,Parch,0.0
45,Ticket,S.C./A.4. 23567
45,Fare,8.05
45,Embarked,S
46,Unnamed: 0,46
46,PassengerId,47
46,Survived,0
46,Pclass,3
46,Name,"Lennon, Mr. Denis"
46,Sex,male
46,SibSp,1.0
46,Parch,0.0
46,Ticket,370371
46,Fare,15.5
46,Embarked,Q
47,Unnamed: 0,47
47,PassengerId,48
47,Survived,1
47,Pclass,3
47,Name,"O'Driscoll, Miss. Bridget"
47,Sex,female
47,SibSp,0.0
47,Parch,0.0
47,Ticket,14311
47,Fare,7.75
47,Embarked,Q
48,Unnamed: 0,48
48,PassengerId,49
48,Survived,0
48,Pclass,3
48,Name,"Samaan, Mr. Youssef"
48,Sex,male
48,SibSp,2.0
48,Parch,0.0
48,Ticket,2662
48,Fare,21.6792
48,Embarked,C
49,Unnamed: 0,49
49,PassengerId,50
49,Survived,0
49,Pclass,3
49,Name,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)"
49,Sex,female
49,Age,18.0
49,SibSp,1.0
49,Parch,0.0
49,Ticket,349237
49,Fare,17.8
49,Embarked,S
50,Unnamed: 0,50
50,PassengerId,51
50,Survived,0
50,Pclass,3
50,Name,"Panula, Master. Juha Niilo"
50,Sex,male
50,Age,7.0
50,SibSp,4.0
50,Parch,1.0
50,Ticket,3101295
50,Fare,39.6875
50,Embarked,S
51,Unnamed: 0,51
51,PassengerId,52
51,Survived,0
51,Pclass,3
51,Name,"Nosworthy, Mr. Richard Cater"
51,Sex,male
51,Age,21.0
51,SibSp,0.0
51,Parch,0.0
51,Ticket,A/4. 39886
51,Fare,7.8
51,Embarked,S
52,Unnamed: 0,52
52,PassengerId,53
52,Survived,1
52,Pclass,1
52,Name,"Harper, Mrs. Henry Sleeper (Myna Haxtun)"
52,Sex,female
52,Age,49.0
52,SibSp,1.0
52,Parch,0.0
52,Ticket,PC 17572
52,Fare,76.7292
52,Cabin,D33
52,Embarked,C
53,Unnamed: 0,53
53,PassengerId,54
53,Survived,1
53,Pclass,2
53,Name,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)"
53,Sex,female
53,Age,29.0
53,SibSp,1.0
53,Parch,0.0
53,Ticket,2926
53,Fare,26.0
53,Embarked,S
54,Unnamed: 0,54
54,PassengerId,55
54,Survived,0
54,Pclass,1
54,Name,"Ostby, Mr. Engelhart Cornelius"
54,Sex,male
54,Age,65.0
54,SibSp,0.0
54,Parch,1.0
54,Ticket,113509
54,Fare,61.9792
54,Cabin,B30
54,Embarked,C
55,Unnamed: 0,55
55,PassengerId,56
55,Survived,1
55,Pclass,1
55,Name,"Woolner, Mr. Hugh"
55,Sex,male
55,SibSp,0.0
55,Parch,0.0
55,Ticket,19947
55,Fare,35.5
55,Cabin,C52
55,Embarked,S
56,Unnamed: 0,56
56,PassengerId,57
56,Survived,1
56,Pclass,2
56,Name,"Rugg, Miss. Emily"
56,Sex,female
56,Age,21.0
56,SibSp,0.0
56,Parch,0.0
56,Ticket,C.A. 31026
56,Fare,10.5
56,Embarked,S
57,Unnamed: 0,57
57,PassengerId,58
57,Survived,0
57,Pclass,3
57,Name,"Novel, Mr. Mansouer"
57,Sex,male
57,Age,28.5
57,SibSp,0.0
57,Parch,0.0
57,Ticket,2697
57,Fare,7.2292
57,Embarked,C
58,Unnamed: 0,58
58,PassengerId,59
58,Survived,1
58,Pclass,2
58,Name,"West, Miss. Constance Mirium"
58,Sex,female
58,Age,5.0
58,SibSp,1.0
58,Parch,2.0
58,Ticket,C.A. 34651
58,Fare,27.75
58,Embarked,S
59,Unnamed: 0,59
59,PassengerId,60
59,Survived,0
59,Pclass,3
59,Name,"Goodwin, Master. William Frederick"
59,Sex,male
59,Age,11.0
59,SibSp,5.0
59,Parch,2.0
59,Ticket,CA 2144
59,Fare,46.9
59,Embarked,S
60,Unnamed: 0,60
60,PassengerId,61
60,Survived,0
60,Pclass,3
60,Name,"Sirayanian, Mr. Orsen"
60,Sex,male
60,Age,22.0
60,SibSp,0.0
60,Parch,0.0
60,Ticket,2669
60,Fare,7.2292
60,Embarked,C
61,Unnamed: 0,61
61,PassengerId,62
61,Survived,1
61,Pclass,1
61,Name,"Icard, Miss. Amelie"
61,Sex,female
61,Age,38.0
61,SibSp,0.0
61,Parch,0.0
61,Ticket,113572
61,Fare,80.0
61,Cabin,B28
62,Unnamed: 0,62
62,PassengerId,63
62,Survived,0
62,Pclass,1
62,Name,"Harris, Mr. Henry Birkhardt"
62,Sex,male
62,Age,45.0
62,SibSp,1.0
62,Parch,0.0
62,Ticket,36973
62,Fare,83.475
62,Cabin,C83
62,Embarked,S
63,Unnamed: 0,63
63,PassengerId,64
63,Survived,0
63,Pclass,3
63,Name,"Skoog, Master. Harald"
63,Sex,male
63,Age,4.0
63,SibSp,3.0
63,Parch,2.0
63,Ticket,347088
63,Fare,27.9
63,Embarked,S
64,Unnamed: 0,64
64,PassengerId,65
64,Survived,0
64,Pclass,1
64,Name,"Stewart, Mr. Albert A"
64,Sex,male
64,SibSp,0.0
64,Parch,0.0
64,Ticket,PC 17605
64,Fare,27.7208
64,Embarked,C
65,Unnamed: 0,65
65,PassengerId,66
65,Survived,1
65,Pclass,3
65,Name,"Moubarek, Master. Gerios"
65,Sex,male
65,SibSp,1.0
65,Parch,1.0
65,Ticket,2661
65,Fare,15.2458
65,Embarked,C
66,Unnamed: 0,66
66,PassengerId,67
66,Survived,1
66,Pclass,2
66,Name,"Nye, Mrs. (Elizabeth Ramell)"
66,Sex,female
66,Age,29.0
66,SibSp,0.0
66,Parch,0.0
66,Ticket,C.A. 29395
66,Fare,10.5
66,Cabin,F33
66,Embarked,S
67,Unnamed: 0,67
67,PassengerId,68
67,Survived,0
67,Pclass,3
67,Name,"Crease, Mr. Ernest James"
67,Sex,male
67,Age,19.0
67,SibSp,0.0
67,Parch,0.0
67,Ticket,S.P. 3464
67,Fare,8.1583
67,Embarked,S
68,Unnamed: 0,68
68,PassengerId,69
68,Survived,1
68,Pclass,3
68,Name,"Andersson, Miss. Erna Alexandra"
68,Sex,female
68,Age,17.0
68,SibSp,4.0
68,Parch,2.0
68,Ticket,3101281
68,Fare,7.925
68,Embarked,S
69,Unnamed: 0,69
69,PassengerId,70
69,Survived,0
69,Pclass,3
69,Name,"Kink, Mr. Vincenz"
69,Sex,male
69,Age,26.0
69,SibSp,2.0
69,Parch,0.0
69,Ticket,315151
69,Fare,8.6625
69,Embarked,S
70,Unnamed: 0,70
70,PassengerId,71
70,Survived,0
70,Pclass,2
70,Name,"Jenkin, Mr. Stephen Curnow"
70,Sex,male
70,Age,32.0
70,SibSp,0.0
70,Parch,0.0
70,Ticket,C.A. 33111
70,Fare,10.5
70,Embarked,S
71,Unnamed: 0,71
71,PassengerId,72
71,Survived,0
71,Pclass,3
71,Name,"Goodwin, Miss. Lillian Amy"
71,Sex,female
71,Age,16.0
71,SibSp,5.0
71,Parch,2.0
71,Ticket,CA 2144
71,Fare,46.9
71,Embarked,S
72,Unnamed: 0,72
72,PassengerId,73
72,Survived,0
72,Pclass,2
72,Name,"Hood, Mr. Ambrose Jr"
72,Sex,male
72,Age,21.0
72,SibSp,0.0
72,Parch,0.0
72,Ticket,S.O.C. 14879
72,Fare,73.5
72,Embarked,S
73,Unnamed: 0,73
73,PassengerId,74
73,Survived,0
73,Pclass,3
73,Name,"Chronopoulos, Mr. Apostolos"
73,Sex,male
73,Age,26.0
73,SibSp,1.0
73,Parch,0.0
73,Ticket,2680
73,Fare,14.4542
73,Embarked,C
74,Unnamed: 0,74
74,PassengerId,75
74,Survived,1
74,Pclass,3
74,Name,"Bing, Mr. Lee"
74,Sex,male
74,Age,32.0
74,SibSp,0.0
74,Parch,0.0
74,Ticket,1601
74,Fare,56.4958
74,Embarked,S
75,Unnamed: 0,75
75,PassengerId,76
75,Survived,0
75,Pclass,3
75,Name,"Moen, Mr. Sigurd Hansen"
75,Sex,male
75,Age,25.0
75,SibSp,0.0
75,Parch,0.0
75,Ticket,348123
75,Fare,7.65
75,Cabin,F G73
75,Embarked,S
76,Unnamed: 0,76
76,PassengerId,77
76,Survived,0
76,Pclass,3
76,Name,"Staneff, Mr. Ivan"
76,Sex,male
76,SibSp,0.0
76,Parch,0.0
76,Ticket,349208
76,Fare,7.8958
76,Embarked,S
77,Unnamed: 0,77
77,PassengerId,78
77,Survived,0
77,Pclass,3
77,Name,"Moutal, Mr. Rahamin Haim"
77,Sex,male
77,SibSp,0.0
77,Parch,0.0
77,Ticket,374746
77,Fare,8.05
77,Embarked,S
78,Unnamed: 0,78
78,PassengerId,79
78,Survived,1
78,Pclass,2
78,Name,"Caldwell, Master. Alden Gates"
78,Sex,male
78,Age,0.83
78,SibSp,0.0
78,Parch,2.0
78,Ticket,248738
78,Fare,29.0
78,Embarked,S
79,Unnamed: 0,79
79,PassengerId,80
79,Survived,1
79,Pclass,3
79,Name,"Dowdell, Miss. Elizabeth"
79,Sex,female
79,Age,30.0
79,SibSp,0.0
79,Parch,0.0
79,Ticket,364516
79,Fare,12.475
79,Embarked,S
80,Unnamed: 0,80
80,PassengerId,81
80,Survived,0
80,Pclass,3
80,Name,"Waelens, Mr. Achille"
80,Sex,male
80,Age,22.0
80,SibSp,0.0
80,Parch,0.0
80,Ticket,345767
80,Fare,9.0
80,Embarked,S
81,Unnamed: 0,81
81,PassengerId,82
81,Survived,1
81,Pclass,3
81,Name,"Sheerlinck, Mr. Jan Baptist"
81,Sex,male
81,Age,29.0
81,SibSp,0.0
81,Parch,0.0
81,Ticket,345779
81,Fare,9.5
81,Embarked,S
82,Unnamed: 0,82
82,PassengerId,83
82,Survived,1
82,Pclass,3
82,Name,"McDermott, Miss. Brigdet Delia"
82,Sex,female
82,SibSp,0.0
82,Parch,0.0
82,Ticket,330932
82,Fare,7.7875
82,Embarked,Q
83,Unnamed: 0,83
83,PassengerId,84
83,Survived,0
83,Pclass,1
83,Name,"Carrau, Mr. Francisco M"
83,Sex,male
83,Age,28.0
83,SibSp,0.0
83,Parch,0.0
83,Ticket,113059
83,Fare,47.1
83,Embarked,S
84,Unnamed: 0,84
84,PassengerId,85
84,Survived,1
84,Pclass,2
84,Name,"Ilett, Miss. Bertha"
84,Sex,female
84,Age,17.0
84,SibSp,0.0
84,Parch,0.0
84,Ticket,SO/C 14885
84,Fare,10.5
84,Embarked,S
85,Unnamed: 0,85
85,PassengerId,86
85,Survived,1
85,Pclass,3
85,Name,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)"
85,Sex,female
85,Age,33.0
85,SibSp,3.0
85,Parch,0.0
85,Ticket,3101278
85,Fare,15.85
85,Embarked,S
86,Unnamed: 0,86
86,PassengerId,87
86,Survived,0
86,Pclass,3
86,Name,"Ford, Mr. William Neal"
86,Sex,male
86,Age,16.0
86,SibSp,1.0
86,Parch,3.0
86,Ticket,W./C. 6608
86,Fare,34.375
86,Embarked,S
87,Unnamed: 0,87
87,PassengerId,88
87,Survived,0
87,Pclass,3
87,Name,"Slocovski, Mr. Selman Francis"
87,Sex,male
87,SibSp,0.0
87,Parch,0.0
87,Ticket,SOTON/OQ 392086
87,Fare,8.05
87,Embarked,S
88,Unnamed: 0,88
88,PassengerId,89
88,Survived,1
88,Pclass,1
88,Name,"Fortune, Miss. Mabel Helen"
88,Sex,female
88,Age,23.0
88,SibSp,3.0
88,Parch,2.0
88,Ticket,19950
88,Fare,263.0
88,Cabin,C23 C25 C27
88,Embarked,S
89,Unnamed: 0,89
89,PassengerId,90
89,Survived,0
89,Pclass,3
89,Name,"Celotti, Mr. Francesco"
89,Sex,male
89,Age,24.0
89,SibSp,0.0
89,Parch,0.0
89,Ticket,343275
89,Fare,8.05
89,Embarked,S
90,Unnamed: 0,90
90,PassengerId,91
90,Survived,0
90,Pclass,3
90,Name,"Christmann, Mr. Emil"
90,Sex,male
90,Age,29.0
90,SibSp,0.0
90,Parch,0.0
90,Ticket,343276
90,Fare,8.05
90,Embarked,S
91,Unnamed: 0,91
91,PassengerId,92
91,Survived,0
91,Pclass,3
91,Name,"Andreasson, Mr. Paul Edvin"
91,Sex,male
91,Age,20.0
91,SibSp,0.0
91,Parch,0.0
91,Ticket,347466
91,Fare,7.8542
91,Embarked,S
92,Unnamed: 0,92
92,PassengerId,93
92,Survived,0
92,Pclass,1
92,Name,"Chaffee, Mr. Herbert Fuller"
92,Sex,male
92,Age,46.0
92,SibSp,1.0
92,Parch,0.0
92,Ticket,W.E.P. 5734
92,Fare,61.175
92,Cabin,E31
92,Embarked,S
93,Unnamed: 0,93
93,PassengerId,94
93,Survived,0
93,Pclass,3
93,Name,"Dean, Mr. Bertram Frank"
93,Sex,male
93,Age,26.0
93,SibSp,1.0
93,Parch,2.0
93,Ticket,C.A. 2315
93,Fare,20.575
93,Embarked,S
94,Unnamed: 0,94
94,PassengerId,95
94,Survived,0
94,Pclass,3
94,Name,"Coxon, Mr. Daniel"
94,Sex,male
94,Age,59.0
94,SibSp,0.0
94,Parch,0.0
94,Ticket,364500
94,Fare,7.25
94,Embarked,S
95,Unnamed: 0,95
95,PassengerId,96
95,Survived,0
95,Pclass,3
95,Name,"Shorney, Mr. Charles Joseph"
95,Sex,male
95,SibSp,0.0
95,Parch,0.0
95,Ticket,374910
95,Fare,8.05
95,Embarked,S
96,Unnamed: 0,96
96,PassengerId,97
96,Survived,0
96,Pclass,1
96,Name,"Goldschmidt, Mr. George B"
96,Sex,male
96,Age,71.0
96,SibSp,0.0
96,Parch,0.0
96,Ticket,PC 17754
96,Fare,34.6542
96,Cabin,A5
96,Embarked,C
97,Unnamed: 0,97
97,PassengerId,98
97,Survived,1
97,Pclass,1
97,Name,"Greenfield, Mr. William Bertram"
97,Sex,male
97,Age,23.0
97,SibSp,0.0
97,Parch,1.0
97,Ticket,PC 17759
97,Fare,63.3583
97,Cabin,D10 D12
97,Embarked,C
98,Unnamed: 0,98
98,PassengerId,99
98,Survived,1
98,Pclass,2
98,Name,"Doling, Mrs. John T (Ada Julia Bone)"
98,Sex,female
98,Age,34.0
98,SibSp,0.0
98,Parch,1.0
98,Ticket,231919
98,Fare,23.0
98,Embarked,S
99,Unnamed: 0,99
99,PassengerId,100
99,Survived,0
99,Pclass,2
99,Name,"Kantor, Mr. Sinai"
99,Sex,male
99,Age,34.0
99,SibSp,1.0
99,Parch,0.0
99,Ticket,244367
99,Fare,26.0
99,Embarked,S
100,Unnamed: 0,100
100,PassengerId,101
100,Survived,0
100,Pclass,3
100,Name,"Petranec, Miss. Matilda"
100,Sex,female
100,Age,28.0
100,SibSp,0.0
100,Parch,0.0
100,Ticket,349245
100,Fare,7.8958
100,Embarked,S
101,Unnamed: 0,101
101,PassengerId,102
101,Survived,0
101,Pclass,3
101,Name,"Petroff, Mr. Pastcho (""Pentcho"")"
101,Sex,male
101,SibSp,0.0
101,Parch,0.0
101,Ticket,349215
101,Fare,7.8958
101,Embarked,S
102,Unnamed: 0,102
102,PassengerId,103
102,Survived,0
102,Pclass,1
102,Name,"White, Mr. Richard Frasar"
102,Sex,male
102,Age,21.0
102,SibSp,0.0
102,Parch,1.0
102,Ticket,35281
102,Fare,77.2875
102,Cabin,D26
102,Embarked,S
103,Unnamed: 0,103
103,PassengerId,104
103,Survived,0
103,Pclass,3
103,Name,"Johansson, Mr. Gustaf Joel"
103,Sex,male
103,Age,33.0
103,SibSp,0.0
103,Parch,0.0
103,Ticket,7540
103,Fare,8.6542
103,Embarked,S
104,Unnamed: 0,104
104,PassengerId,105
104,Survived,0
104,Pclass,3
